 t = 95.207893725	 r = 0.5	 u = -0.00120668299496	 x1 = 0.0249755382538	 x0 = 0.489843726158
 t = 95.247894325	 r = 0.5	 u = 0.02544798702	 x1 = 0.00886225700378	 x0 = 0.480981469154
 t = 95.288117875	 r = 0.5	 u = 0.0114839822054	 x1 = -0.0201416015625	 x0 = 0.502734303474
 t = 95.327896725	 r = 0.5	 u = -0.0196723528206	 x1 = -0.0265868902206	 x0 = 0.529321312904
 t = 95.367923575	 r = 0.5	 u = -0.0287183187902	 x1 = -0.01611328125	 x0 = 0.561547875404
 t = 95.407898725	 r = 0.5	 u = -0.0287183187902	 x1 = 0.0112793445587	 x0 = 0.568798899651
 t = 95.447899325	 r = 0.5	 u = -0.00626959465444	 x1 = 0.0120849609375	 x0 = 0.567187428474
 t = 95.488123575	 r = 0.5	 u = 0.0029332744889	 x1 = 0.0104736089706	 x0 = 0.567187428474
 t = 95.527901725	 r = 0.5	 u = -0.0109760984778	 x1 = 0.00725102424622	 x0 = 0.570410132408
 t = 95.56792865	 r = 0.5	 u = -0.0145300636068	 x1 = -0.00161135196686	 x0 = 0.579272389412
 t = 95.607903725	 r = 0.5	 u = -0.0145300636068	 x1 = 0.0217529535294	 x0 = 0.573632836342
 t = 95.647904325	 r = 0.5	 u = -0.00286600273103	 x1 = 0.0145019292831	 x0 = 0.567187428474
 t = 95.688128275	 r = 0.5	 u = -0.00378403719515	 x1 = 0.0177246332169	 x0 = 0.567187428474
 t = 95.727906725	 r = 0.5	 u = -0.00916846934706	 x1 = 0.0120849609375	 x0 = 0.560742259026
 t = 95.76793395	 r = 0.5	 u = -0.00842964090407	 x1 = 0.0128905773163	 x0 = 0.563159108162
 t = 95.807908725	 r = 0.5	 u = -0.00842964090407	 x1 = 0.0145019292831	 x0 = 0.557519555092
 t = 95.847909325	 r = 0.5	 u = 0.00283460365608	 x1 = 0.0169188976288	 x0 = 0.546240210533
 t = 95.88814375	 r = -0.5	 u = -0.000506494718138	 x1 = 0.00644528865814	 x0 = 0.553491234779
 t = 95.927911725	 r = -0.5	 u = -0.236219152808	 x1 = 0.0507568120956	 x0 = 0.546240210533

Sent : 0100000000000000
