 t = 57.181462625	 r = 0.5	 u = -0.154951125383	 x1 = -0.207055687904	 x0 = 0.364160180092
 t = 57.221438425	 r = 0.5	 u = -0.154951125383	 x1 = -0.0749267339706	 x0 = 0.500317454338
 t = 57.261439025	 r = 0.5	 u = -0.076323479414	 x1 = 0.00644528865814	 x0 = 0.527709841728
 t = 26.530119225	 r = 1.4009678461e-14	 u = 0.5	 x1 = -3.26157088571e+27	 x0 = 2.35100523697e-38
 t = 57.3314667	 r = 0.5	 u = 0.0234910156578	 x1 = 0.0290038585663	 x0 = 0.489843726158
 t = 57.371442175	 r = 0.5	 u = 0.0234910156578	 x1 = 0.00563967227936	 x0 = 0.480175852776
 t = 57.411442775	 r = 0.5	 u = 0.0114554539323	 x1 = -0.0104736089706	 x0 = 0.496289134026
 t = 57.45166545	 r = 0.5	 u = -0.0119975404814	 x1 = -0.0233643054962	 x0 = 0.527709841728
 t = 57.491445175	 r = 0.5	 u = -0.0199704617262	 x1 = -0.0177246332169	 x0 = 0.553491234779
 t = 57.53147235	 r = 0.5	 u = -0.0106936935335	 x1 = 0.00563967227936	 x0 = 0.562353491783
 t = 57.571447175	 r = 0.5	 u = -0.0106936935335	 x1 = -0.00161135196686	 x0 = 0.569604516029
 t = 57.611447775	 r = 0.5	 u = -0.0132804140449	 x1 = 0.00966799259186	 x0 = 0.569604516029
 t = 57.651669825	 r = 0.5	 u = -0.0037122387439	 x1 = 0.0120849609375	 x0 = 0.560742259026
 t = 57.691450175	 r = 0.5	 u = -0.00264612957835	 x1 = 0.0120849609375	 x0 = 0.559130787849
 t = 57.73147775	 r = 0.5	 u = -0.0058336686343	 x1 = 0.00483393669128	 x0 = 0.567187428474
 t = 57.771452175	 r = 0.5	 u = -0.0058336686343	 x1 = 0.0120849609375	 x0 = 0.563964724541
 t = 57.811452775	 r = 0.5	 u = -0.00423564668745	 x1 = 0.0040283203125	 x0 = 0.566381812096
 t = 57.851675175	 r = 0.5	 u = -0.00594612164423	 x1 = 0.00322270393372	 x0 = 0.569604516029
 t = 57.891455175	 r = 0.5	 u = -0.00712115317583	 x1 = 0.008056640625	 x0 = 0.574438452721
 t = 57.931482175	 r = 0.5	 u = -0.00938080623746	 x1 = 0.00322270393372	 x0 = 0.576049685478
 t = 57.971457175	 r = 0.5	 u = -0.00938080623746	 x1 = 0.0120849609375	 x0 = 0.573632836342
 t = 58.011457775	 r = -0.5	 u = -0.00823254045099	 x1 = 0.0153076648712	 x0 = 0.573632836342
