 t = 32.169314025	 r = 0.5	 u = -0.00843895599246	 x1 = 0.00563967227936	 x0 = 0.560742259026
 t = 32.209314625	 r = 0.5	 u = -0.01588232629	 x1 = 0.00886225700378	 x0 = 0.567187428474
 t = 32.249315625	 r = 0.5	 u = -0.00612319540232	 x1 = 0.0169188976288	 x0 = 0.567187428474
 t = 32.289317025	 r = 0.5	 u = -0.00416299514472	 x1 = 0.0128905773163	 x0 = 0.564770579338
 t = 32.32953205	 r = 0.5	 u = -0.00750126456842	 x1 = 0.0185302495956	 x0 = 0.560742259026
 t = 32.369319025	 r = 0.5	 u = -0.00750126456842	 x1 = 0.0136963129044	 x0 = 0.559936404228
 t = 32.409319625	 r = 0.5	 u = -0.0024300320074	 x1 = 0.008056640625	 x0 = 0.553491234779
 t = 32.449320625	 r = 0.5	 u = -0.00691898027435	 x1 = 0.0104736089706	 x0 = 0.551879763603
 t = 32.489322025	 r = 0.5	 u = -0.00362339848652	 x1 = 0.0185302495956	 x0 = 0.547851443291
 t = 32.5295373	 r = 0.5	 u = -0.00233081309125	 x1 = 0.00725102424622	 x0 = 0.547045826912
 t = 32.569324025	 r = 0.5	 u = -0.00233081309125	 x1 = 0.0104736089706	 x0 = 0.543017506599
 t = 32.609324625	 r = 0.5	 u = -0.010257249698	 x1 = 0.008056640625	 x0 = 0.551074147224
 t = 32.649325625	 r = -0.5	 u = -0.236118987203	 x1 = 0.0322265625	 x0 = 0.550268530846
 t = 32.689327025	 r = -0.5	 u = -0.0642347037792	 x1 = 0.244921922684	 x0 = 0.434252858162
 t = 32.7295418	 r = -0.5	 u = 0.110430449247	 x1 = 0.318237304688	 x0 = 0.174023389816
 t = 32.769329025	 r = -0.5	 u = 0.110430449247	 x1 = 0.267480492592	 x0 = -0.088623046875
 t = 32.809329625	 r = -0.5	 u = 0.121463239193	 x1 = 0.163549780846	 x0 = -0.270703077316
 t = 32.849330625	 r = -0.5	 u = 0.0441689826548	 x1 = 0.0572021007538	 x0 = -0.3544921875
 t = 32.889332025	 r = -0.5	 u = -0.00859067589045	 x1 = 0.00886225700378	 x0 = -0.372216820717
 t = 32.929549675	 r = -0.5	 u = -0.0303531289101	 x1 = 0.00563967227936	 x0 = -0.367382764816
 t = 32.969334025	 r = -0.5	 u = -0.0303531289101	 x1 = 0.0193359851837	 x0 = -0.361743211746
 t = 33.009334625	 r = -0.5	 u = -0.00969864241779	 x1 = 0.0290038585663	 x0 = -0.378662109375
 t = 33.049335625	 r = -0.5	 u = 0.00470535643399	 x1 = 0.0386718511581	 x0 = -0.40283203125
 t = 33.089337025	 r = -0.5	 u = 0.00493208132684	 x1 = 0.0314209461212	 x0 = -0.430224657059
 t = 33.1295533	 r = -0.5	 u = -0.00212817732245	 x1 = 0.0169188976288	 x0 = -0.439086914062
 t = 33.169339025	 r = -0.5	 u = -0.00212817732245	 x1 = 0.0120849609375	 x0 = -0.447143554688
 t = 33.209339625	 r = -0.5	 u = -0.00843542069197	 x1 = 0.0120849609375	 x0 = -0.444726586342
 t = 33.249340625	 r = -0.5	 u = -0.00154592189938	 x1 = 0.00644528865814	 x0 = -0.445532202721
 t = 33.289342025	 r = -0.5	 u = -0.007142808754	 x1 = 0.00644528865814	 x0 = -0.445532202721
 t = 33.32955845	 r = -0.5	 u = -0.00191524345428	 x1 = 0.00725102424622	 x0 = -0.447143554688
 t = 33.369344025	 r = -0.5	 u = -0.00191524345428	 x1 = 0.00563967227936	 x0 = -0.447949171066
 t = 33.409344625	 r = -0.5	 u = -0.00484147574753	 x1 = 0.00886225700378	 x0 = -0.444726586342

Sent : 0100000000000000

	----END MONITORING----

	----NEW MONITORING----
link to monitor : 1

Sent : 0000000000000001
 t = 33.949358125	 r = 0.5	 u = 0.0169025044888	 x1 = 0.00563967227936	 x0 = 0.476953148842
 t = 33.989359525	 r = 0.5	 u = 0.00246977806091	 x1 = -0.00725102424622	 x0 = 0.489843726158
 t = 34.02957605	 r = 0.5	 u = -0.0220908634365	 x1 = -0.0233643054962	 x0 = 0.512402415276
 t = 34.069361525	 r = 0.5	 u = -0.0220908634365	 x1 = -0.0193359851837	 x0 = 0.540600657463
 t = 34.109362125	 r = 0.5	 u = -0.0162378847599	 x1 = -0.00483393669128	 x0 = 0.553491234779
 t = 34.149363125	 r = 0.5	 u = -0.00821156613529	 x1 = 0.00483393669128	 x0 = 0.563159108162
 t = 34.189364525	 r = 0.5	 u = -0.00883649289608	 x1 = 0.00886225700378	 x0 = 0.565576195717
 t = 34.2295802	 r = 0.5	 u = 0.00224356446415	 x1 = 0.00966799259186	 x0 = 0.559936404228
 t = 34.269366525	 r = 0.5	 u = 0.00224356446415	 x1 = 0.0120849609375	 x0 = 0.554296851158
 t = 34.309367125	 r = 0.5	 u = -0.00765762431547	 x1 = 0.00563967227936	 x0 = 0.557519555092
 t = 34.349368125	 r = 0.5	 u = -0.00998711865395	 x1 = 0.00886225700378	 x0 = 0.560742259026
 t = 34.389369525	 r = 0.5	 u = -0.00939043518156	 x1 = 0.00966799259186	 x0 = 0.567993044853
 t = 34.429584975	 r = 0.5	 u = -0.00987350009382	 x1 = 0.0185302495956	 x0 = 0.560742259026
 t = 34.469371525	 r = 0.5	 u = -0.00987350009382	 x1 = 0.01611328125	 x0 = 0.563159108162
 t = 34.509372125	 r = 0.5	 u = 0.00291117932647	 x1 = 0.0128905773163	 x0 = 0.553491234779
